id	category	title	abstract
N0	1	[413, 4693, 206, 414, 4756, 0, 0, 55120, 3837, 37, 0, 194, 599, 1408, 6951, 17631, 22, 0, 0, 0]	[732, 1580, 3195, 4756, 0, 179, 5, 0, 79, 514, 1408, 1, 12874, 42, 17631, 76, 1, 5496, 42, 2304, 8, 800, 5, 0, 8, 0, 169, 56, 426, 4106, 5, 79, 514, 2109, 67, 55120, 1033, 37, 594, 0, 15028, 4756, 179, 60, 56, 449, 5228, 117, 1, 116, 8244, 42, 807, 41193, 1143, 60, 1, 2118, 6462, 16, 174, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N1	2	[25932, 16892, 0, 3397, 8, 29948, 60, 0, 3007, 44, 7573, 7348, 0, 0, 0, 0, 0, 0, 0, 0]	[25932, 16892, 301, 117, 1, 32710, 16, 84, 514, 21453, 47, 0, 6914, 64, 121, 1143, 47, 18730, 5, 925, 37, 3392, 1552, 64, 186, 473, 1, 435, 42, 0, 16, 9320, 351, 47, 1, 3007, 44, 7573, 7348, 2467, 42, 0, 5375, 4763, 5, 34, 237, 569, 56, 4510, 42, 1, 1934, 1336, 2097, 169, 2323, 2998, 5, 525, 2447, 5, 8, 0, 5, 19939, 117, 936, 500, 8, 29948, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N2	3	[5669, 5, 1, 266, 8, 0, 14044, 3498, 6499, 351, 13961, 238, 460, 34, 2947, 84, 5, 34, 167, 64]	[5669, 5, 1, 1817, 2337, 6499, 42, 1, 3199, 8, 1, 7573, 6499, 5, 1, 14044, 3498, 6499, 351, 5, 514, 3827, 22, 56, 0, 224, 56, 2337, 6499, 16, 29261, 201, 1, 6499, 224, 60, 0, 5, 1, 10830, 1320, 64, 1, 4302, 22, 84, 224, 895, 26, 56, 0, 8, 56, 3498, 6499, 64, 5648, 60, 1, 635, 603, 22, 1, 63, 224, 6738, 2433, 5, 44474, 5, 1324, 324, 392, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N3	4	[10326, 672, 22, 2677, 0, 351, 64, 3824, 238, 47422, 2706, 2707, 303, 55, 1, 1158, 413, 221, 414, 0]	[10326, 672, 22, 2677, 5, 0, 351, 5, 353, 66, 10258, 64, 1522, 4667, 5, 224, 192, 64, 582, 304, 1747, 2853, 1565, 22, 2706, 2707, 224, 192, 55, 1, 1158, 117, 1, 4117, 7638, 8, 251, 9484, 4131, 22, 460, 1, 10326, 4422, 169, 192, 5, 4667, 514, 230, 121, 3163, 85, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N4	6	[9829, 2969, 11, 56, 14775, 47, 0, 238, 617, 32, 166, 17160, 0, 0, 0, 0, 0, 0, 0, 0]	[4127, 299, 6396, 1, 4707, 42, 3043, 8646, 332, 2196, 64, 9207, 22393, 17631, 169, 1, 3292, 42, 1, 14775, 0, 15798, 90, 56, 1091, 47, 3595, 22, 47, 0, 5, 840, 1, 4755, 427, 224, 3588, 5, 15, 8, 15, 4632, 166, 32, 730, 0, 76, 1, 2796, 42, 1506, 5, 2454, 4102, 8, 57948, 22, 251, 705, 16, 3824, 5, 1, 903, 24408, 13378, 520, 32896, 522, 5, 8, 0, 167, 3535, 10616, 55, 3595, 640, 1, 1565, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N5	5	[377, 37926, 3185, 377, 381, 108, 66, 672, 0, 381, 381, 238, 430, 2134, 23419, 303, 60, 979, 381, 0]	[1, 0, 926, 5671, 7175, 0, 37926, 3185, 13656, 56, 0, 8148, 22, 1, 3185, 301, 117, 1, 32710, 16, 108, 66, 672, 3986, 7215, 1, 0, 12538, 42, 1, 18945, 22, 3233, 42, 0, 3854, 480, 520, 0, 1762, 522, 5, 727, 0, 520, 0, 1762, 522, 5, 8, 0, 520, 0, 1762, 522, 5, 2811, 131, 10052, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
