id	category	title	abstract
N28	3	[377, 377, 381, 594, 224, 1, 426, 174, 42, 11030, 381, 381, 238, 14575, 0, 1150, 2764, 56, 10388, 42]	[377, 0, 5786, 14575, 0, 1150, 5288, 304, 11030, 117, 1, 32710, 22, 3066, 332, 674, 2568, 64, 1839, 8, 770, 332, 6806, 25674, 1612, 704, 22, 1, 21366, 2205, 10701, 5, 377, 381, 194, 599, 17408, 303, 770, 1595, 47, 1, 60741, 8, 33774, 16, 1545, 1207, 1, 2978, 64, 1229, 1, 1150, 8, 1, 1473, 381, 381, 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N29	3	[1, 2768, 42, 328, 4028, 44, 2304, 3638, 784, 230, 29988, 328, 26, 55, 23, 324, 238, 1, 680, 14842]	[784, 1366, 667, 3133, 26, 55, 23, 324, 5, 201, 328, 4028, 168, 5, 328, 2768, 47, 328, 19392, 115, 64, 5198, 3638, 1147, 22, 8047, 56, 257, 230, 138, 12311, 3724, 1476, 1430, 328, 9001, 434, 328, 766, 9026, 324, 4186, 201, 1803, 66, 748, 324, 1614, 8, 9019, 22, 8930, 0, 224, 9771, 1, 3325, 17749, 42, 1, 4790, 0, 0, 1417, 351, 47, 1, 2118, 6462, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N30	4	[37, 6738, 64, 3192, 5, 18619, 42, 37836, 10651, 23309, 349, 3420, 5, 1, 1763, 142, 238, 0, 15798, 7133]	[37, 6738, 64, 3192, 133, 531, 5, 18619, 42, 7969, 37836, 14972, 347, 3574, 1149, 26, 1, 116, 603, 22, 1, 5238, 42, 37836, 18619, 3724, 3192, 42, 133, 531, 66, 0, 3428, 520, 15950, 0, 47522, 349, 522, 84, 4198, 11, 0, 1762, 37, 1, 2040, 9948, 42, 18619, 520, 0, 1149, 3428, 522, 42, 426, 531, 22, 1, 3882, 110, 224, 1, 4924, 42, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N31	4	[377, 8736, 2707, 351, 6814, 11, 7512, 8, 12278, 238, 43997, 355, 377, 381, 4826, 7272, 381, 381, 413, 594]	[377, 594, 224, 8397, 10690, 689, 1, 1062, 5, 8, 108, 514, 121, 1672, 2707, 6814, 11, 2713, 2714, 8, 7224, 47, 251, 4131, 22, 1, 4667, 43997, 3759, 179, 5, 377, 381, 1, 4826, 1186, 237, 11831, 3827, 169, 1672, 43524, 3370, 47, 56, 584, 603, 381, 381, 1, 8017, 5671, 133, 739, 66, 7229, 64, 121, 1776, 64, 265, 8087, 5, 8, 1, 1763, 22751, 5671, 66, 265, 64, 1455, 8087, 22, 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N32	4	[270, 0, 56, 3835, 13154, 1132, 238, 9155, 2297, 53470, 0, 8, 3186, 4756, 0, 44, 0, 351, 0, 0]	[1817, 9155, 2297, 42, 8213, 5, 2721, 8, 8131, 53470, 0, 9526, 56, 1525, 42, 1, 4870, 42, 14692, 42, 1, 219, 4667, 3185, 1143, 60, 1, 0, 1971, 117, 1, 32710, 5, 8, 3243, 7295, 26, 1, 5568, 42, 1, 0, 219, 4667, 531, 0, 16, 1316, 1069, 63, 531, 22, 63, 531, 5, 1, 14020, 1494, 514, 121, 8822, 4198, 8, 15, 3815, 514, 121, 1780, 64, 30502, 8528, 2194, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N33	4	[10326, 672, 22, 2677, 0, 351, 64, 3824, 238, 47422, 2706, 2707, 303, 55, 1, 1158, 413, 221, 414, 0]	[10326, 672, 22, 2677, 5, 0, 351, 5, 353, 66, 10258, 64, 1522, 4667, 5, 224, 192, 64, 582, 304, 1747, 2853, 1565, 22, 2706, 2707, 224, 192, 55, 1, 1158, 117, 1, 4117, 7638, 8, 251, 9484, 4131, 22, 460, 1, 10326, 4422, 169, 192, 5, 4667, 514, 230, 121, 3163, 85, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N34	4	[0, 2784, 37604, 0, 64, 1160, 60, 56, 4987, 47, 62298, 64, 58587, 55, 1, 9279, 0, 0, 0, 0]	[37604, 0, 37604, 514, 1160, 60, 1, 1311, 4135, 42, 1, 4987, 236, 1, 9279, 64, 121, 1143, 60, 1, 3410, 2879, 47, 0, 5, 62298, 117, 1, 10011, 42, 63, 3199, 22, 1, 13950, 3106, 8283, 23888, 37604, 0, 5, 8, 1, 27618, 12079, 84, 22, 398, 224, 994, 169, 56, 24003, 3106, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N35	4	[2706, 2707, 47, 0, 8, 15865, 594, 8, 13373, 238, 926, 5671, 329, 1455, 8087, 0, 0, 0, 0, 0]	[108, 514, 121, 459, 840, 108, 514, 121, 109, 1672, 2707, 42, 1455, 64, 2813, 45673, 2505, 4992, 76, 5301, 8, 12278, 47, 1, 0, 7638, 8, 15865, 2203, 594, 22, 84, 514, 2707, 1455, 64, 0, 47, 1, 4117, 7638, 42, 0, 5, 8, 15, 640, 0, 47, 1740, 459, 22, 1, 9513, 42, 1, 10388, 514, 3827, 169, 4283, 169, 58012, 47, 1, 144, 10388, 47, 1, 4011, 562, 42, 1, 1981, 10388, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N36	4	[0, 5, 0, 5, 15865, 11062, 2707, 238, 14575, 8297, 224, 4769, 0, 0, 0, 0, 0, 0, 0, 0]	[8017, 5671, 133, 739, 66, 7229, 64, 121, 905, 64, 1227, 8087, 5, 8, 1763, 22751, 5671, 7229, 224, 1344, 64, 2433, 8087, 22, 192, 2726, 5671, 26, 335, 6276, 224, 1455, 8087, 47, 14575, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 8, 0, 32, 23, 64, 4804, 45673, 42, 2707, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N37	4	[3392, 1552, 5, 6914, 413, 8930, 0, 44, 8190, 594, 414, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[21337, 5, 2950, 324, 1614, 159, 40, 500, 5105, 24285, 22, 12460, 5, 1018, 47, 1575, 159, 84, 44, 56, 40, 174, 22, 12460, 1018, 47, 8803, 159, 3258, 1465, 42, 150, 6066, 22, 21337, 1018, 47, 44860, 159, 3761, 8, 5649, 32, 6327, 22, 1018, 47, 34595, 159, 229, 19, 261, 667, 150, 1032, 3724, 13373, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
